#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
223,Luke Insley,,,,FTM,Free Throw,00:00:06.1,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,3,,Luke Insley,,14 Luke Insley > Non Possession > Free Throw
224,Mark Osime,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:16.5,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,3,3:12,"Mark Osime, Tyler Putney",P&R BH,23 Mark Osime > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts
225,Luke Insley,,,,2FGM,Make 2 Pts,00:00:15.3,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,3,2:49,Luke Insley,P&R BH,14 Luke Insley > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Make 2 Pts
226,Matt Caggiano,,,,2FGM,Make 2 Pts,00:00:07.9,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,3,2:39,Matt Caggiano,P&R BH,5 Matt Caggiano > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Dribble Jumper > Short to < 17' > Make 2 Pts
227,Jaylen Savage,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:29.5,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,3,2:38,"Jaylen Savage, Josiah Turner",Spot Up,12 Jaylen Savage > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
228,Matt Caggiano,,,,2FGM,Make 2 Pts,00:00:18.7,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,3,1:53,Matt Caggiano,P&R BH,5 Matt Caggiano > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Make 2 Pts
229,Will Burnett,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:26.8,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,3,1:24,"Will Burnett, Mark Osime",Spot Up,11 Will Burnett > Spot-Up > Drives Left > Dribble Jumper > Long/3pt > Miss 3 Pts
230,Matt Caggiano,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:12.4,,,Rochester Institute of Technology Tigers,RIT@NAZ,11/21/2024,3,1:13,"Matt Caggiano, Will Burnett",Transition,5 Matt Caggiano > Transition > Left Wing > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
231,Luke Insley,,,,,No Violation,00:00:04.2,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,3,,Luke Insley,,14 Luke Insley > Non Possession > No Violation
232,Liam Hopwood,,,,2FGM,Make 2 Pts,00:00:22.7,,,Nazareth College Golden Flyers,RIT@NAZ,11/21/2024,3,0:44,Liam Hopwood,Cut,25 Liam Hopwood > Cut > Basket > Make 2 Pts
