#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
166,Ethan Madeiros,,,,,No Violation,00:00:09.1,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,1,,Ethan Madeiros,,25 Ethan Madeiros > Non Possession > No Violation
167,Hakeem Daphnis,,,,"3FGM, Assist",Make 3 Pts,00:00:23.1,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,2,9:05,"Hakeem Daphnis, Aidan Roy",Spot Up,23 Hakeem Daphnis > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
168,Tate Pike,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:25.1,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,8:38,"Tate Pike, Alexei Downie",P&R BH,2 Tate Pike > P&R Ball Handler > High P&R > Go Away from Pick > To Basket > Miss 2 Pts
169,Hakeem Daphnis,,,,Foul,Non Shooting Foul,00:00:10.8,,,,REG@SKD,11/11/2024,1,,Dan Grasso,,23 Hakeem Daphnis > Non Possession > Non Shooting Foul
170,Aidan Roy,,,,2FGM,Make 2 Pts,00:00:18.8,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,2,8:23,Aidan Roy,"P&R BH, Spot Up",23 Hakeem Daphnis > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 15 Aidan Roy > Spot-Up > Drives Right > Dribble Jumper > Medium/17' to <3p > Make 2 Pts
171,Aamyr Sullivan,,,,2FGM,Make 2 Pts,00:00:15.1,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,8:05,Aamyr Sullivan,Handoff,1 Aamyr Sullivan > Hand Off > From Stationary > Top > Dribble Jumper > Short to < 17' > Make 2 Pts
172,Charlie Fantom,,,,Foul,Non Shooting Foul,00:00:13.1,,,,REG@SKD,11/11/2024,1,,Tate Pike,,5 Charlie Fantom > Non Possession > Non Shooting Foul
173,Hakeem Daphnis,,,,3FGM,Make 3 Pts,00:00:23.0,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,2,7:30,Hakeem Daphnis,P&R BH,23 Hakeem Daphnis > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Dribble Jumper > Long/3pt > Make 3 Pts
174,Aamyr Sullivan,,,,2FGM,Make 2 Pts,00:00:16.9,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,7:07,Aamyr Sullivan,P&R BH,1 Aamyr Sullivan > P&R Ball Handler > High P&R > Go Away from Pick > To Basket > Make 2 Pts
175,Hakeem Daphnis,,,,"Turnover, Steal",Turnover,00:00:21.5,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,2,6:41,"Hakeem Daphnis, Russell Rau",P&R BH,23 Hakeem Daphnis > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Turnover
176,Jamir Harvey,,,,Foul,Foul,00:00:10.1,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,6:37,"Alexei Downie, Jamir Harvey",Transition,23 Jamir Harvey > Transition > Ballhandler > To Basket > Foul
177,Jamir Harvey,,,,FTm,Free Throw,00:00:05.9,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,,Jamir Harvey,,23 Jamir Harvey > Non Possession > Free Throw
178,Jamir Harvey,,,,FTM,Free Throw,00:00:05.7,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,,Jamir Harvey,,23 Jamir Harvey > Non Possession > Free Throw
179,Aidan Roy,,,,Turnover,Turnover,00:00:25.0,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,2,6:11,Aidan Roy,Cut,15 Aidan Roy > Cut > Flash > Turnover
180,Ned Fitzpatrick,,,,3FGm,Miss 3 Pts,00:00:14.9,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,6:00,Ned Fitzpatrick,"P&R BH, Spot Up",1 Aamyr Sullivan > P&R Ball Handler > High P&R > Go Away from Pick > Defense Commits > Ball Delivered > 10 Ned Fitzpatrick > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
181,Russell Rau,,,,Off Reb,Run Offense,00:00:08.9,,,Regis College (MA) Pride,REG@SKD,11/11/2024,1,,Russell Rau,Off Reb,20 Russell Rau > Offensive Rebound > Long > Run Offense
182,Aamyr Sullivan,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:13.3,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,5:53,"Aidan Roy, Aamyr Sullivan",Spot Up,1 Aamyr Sullivan > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
183,Fumani Sithole,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:19.3,,,Skidmore Thoroughbreds,REG@SKD,11/11/2024,2,5:39,"Fumani Sithole, Ned Fitzpatrick","P&R BH, Spot Up",5 Charlie Fantom > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 12 Fumani Sithole > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
184,Tate Pike,,,,3FGm,Miss 3 Pts,00:00:25.4,,,Regis College (MA) Pride,REG@SKD,11/11/2024,2,5:24,Tate Pike,"Post Up, Spot Up",20 Russell Rau > Post-Up > Left Block > Right Shoulder > Dribble Move > Defense Commits > Ball Delivered > 2 Tate Pike > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
