Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Nathan Denham,Vassar Brewers,2,0,0,,1,0,0.0,1,0,0.0,0.0,1,0
Aidan Roy,Skidmore Thoroughbreds,2,1,1,100.0,0,0,,0,0,,150.0,1,0
Ian Bentley,Skidmore Thoroughbreds,2,0,0,,1,1,100.0,0,0,,100.0,1,0
Elliot Harris,Bard College,2,0,0,,2,0,0.0,1,0,0.0,0.0,0,0
Kreekor Karageuzian,Vassar Brewers,2,0,0,,1,0,0.0,1,0,0.0,0.0,1,0
josh Lopez,St. John Fisher Cardinals,2,0,0,,1,1,100.0,0,0,,100.0,1,0
Sebastian Medina,Vassar Brewers,2,0,0,,1,0,0.0,0,0,,0.0,1,0
Solomon Mcfarlane,Nazareth College Golden Flyers,2,1,0,0.0,1,1,100.0,0,0,,50.0,0,0
Jaylen Savage,Nazareth College Golden Flyers,2,0,0,,1,0,0.0,0,0,,0.0,1,0
Isaiah Washington,Hobart College Statesmen,2,0,0,,2,1,50.0,0,0,,50.0,0,0
Connor Cepiel,Union (NY) Dutchmen,2,0,0,,1,1,100.0,0,0,,100.0,1,0
Jack Plesser,Union (NY) Dutchmen,2,0,0,,2,2,100.0,1,1,100.0,100.0,0,0
Adam Dudzinski,St. Lawrence Saints,2,0,0,,2,0,0.0,1,0,0.0,0.0,0,0
Alex Moesch,Hobart College Statesmen,2,0,0,,2,1,50.0,1,0,0.0,50.0,0,0
Hakeem Daphnis,Skidmore Thoroughbreds,2,0,0,,2,0,0.0,2,0,0.0,0.0,0,0
Aren Cummings,Union (NY) Dutchmen,2,0,0,,1,1,100.0,0,0,,100.0,1,0
Avery Eugster,Rensselaer Polytechnic,2,0,0,,2,1,50.0,0,0,,50.0,0,0
Carter Meshanic,Hobart College Statesmen,2,0,0,,2,1,50.0,0,0,,50.0,0,0
Blessed Mbogo,Gallaudet University Bison,2,0,0,,2,1,50.0,1,0,0.0,50.0,0,0
Enow Otto Jr.,Gallaudet University Bison,2,0,0,,1,0,0.0,0,0,,0.0,1,0
Braeden Burns,Clarkson University Golden Knights,2,0,0,,2,1,50.0,0,0,,50.0,0,0
Frankie Rainville,Clarkson University Golden Knights,2,0,0,,2,2,100.0,1,1,100.0,100.0,0,0
Rowan Heinze,Bard College,2,0,0,,1,1,100.0,0,0,,100.0,1,0
Zy Switzer,Alfred State Pioneers,2,1,0,0.0,0,0,,0,0,,0.0,1,0
Zachary Gilebarto,Alfred State Pioneers,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Emmanuel Leftenant,Alfred State Pioneers,1,0,0,,0,0,,0,0,,,0,1
Laz Panagiotounis,Bard College,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Stevie Graham,Wells,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Matt Toscano,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Billy Mccrae,Wells,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Aydin Kocak,Clarkson University Golden Knights,1,1,1,100.0,0,0,,0,0,,150.0,0,0
Steve DeRegis,Clarkson University Golden Knights,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Riley Spencer,Elmira,1,0,0,,1,1,100.0,1,1,100.0,100.0,0,0
Carter Seeberger,Elmira,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Tyler Cardello,Elmira,1,0,0,,1,1,100.0,0,0,,100.0,0,0
