Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Zachary Bippus,Gallaudet University Bison,1,0,0,,0,0,,0,0,,,1,0
Jackson Otis,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,,1,0
Heston Tucker,Bard College,1,0,0,,1,1,100.0,1,1,100.0,100.0,0,0
Connor Melis,Bard College,1,0,0,,1,0,0.0,1,0,0.0,0.0,0,0
Tyler Cardello,Elmira,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Mike Parme,Bard College,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Pat Healy,Hobart College Statesmen,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Ronnie Toole,Rochester Institute of Technology Tigers,1,0,0,,1,0,0.0,0,0,,0.0,0,0
Alex Walters,Vassar Brewers,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Tanner Tedesco,Union (NY) Dutchmen,1,1,0,0.0,0,0,,0,0,,0.0,0,0
Corvin Oprea,Rochester (NY) Yellowjackets,1,1,1,100.0,0,0,,0,0,,150.0,0,0
