#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
48,Laurence Brady,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:28.3,,,Ithaca College,RU@IC,11/09/2024,1,11:54,"Laurence Brady, Khalif Meares",Spot Up,12 Laurence Brady > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
49,Khalif Meares,,,,Turnover,Turnover,00:00:12.5,,,Rowan University,RU@IC,11/09/2024,1,11:49,Khalif Meares,Transition,0 Khalif Meares > Transition > Ballhandler > Turnover
50,Evan Cabral,,,,3FGM,Make 3 Pts,00:00:18.3,,,Ithaca College,RU@IC,11/09/2024,1,11:38,Evan Cabral,P&R BH,15 Evan Cabral > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Make 3 Pts
51,Brycen Williams,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:14.8,,,Rowan University,RU@IC,11/09/2024,1,11:22,"Brycen Williams, Evan Cabral",Spot Up,5 Brycen Williams > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
52,Chris Leysath,,,,Foul,Foul,00:00:15.6,,,Ithaca College,RU@IC,11/09/2024,1,11:11,"Chris McCarron, Chris Leysath","P&R BH, P&R Roll Man",15 Evan Cabral > P&R Ball Handler > Left P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 30 Chris Leysath > P&R Roll Man > Rolls to Basket > Foul
53,Chris Leysath,,,,FTM,Free Throw,00:00:05.6,,,Ithaca College,RU@IC,11/09/2024,1,,Chris Leysath,,30 Chris Leysath > Non Possession > Free Throw
54,Chris Leysath,,,,FTM,Free Throw,00:00:04.9,,,Ithaca College,RU@IC,11/09/2024,1,,Chris Leysath,,30 Chris Leysath > Non Possession > Free Throw
55,Brycen Williams,,,,"3FGM, Foul, Assist",1 Pts,00:00:30.5,,,Rowan University,RU@IC,11/09/2024,1,10:47,"Brycen Williams, Taz Cantey, Aidan Holmes","Iso, Spot Up",2 Taz Cantey > ISO > Left > Drives Right > Defense Commits > Ball Delivered > 5 Brycen Williams > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts Foul > 1 Pts
56,Brycen Williams,,,,FTM,Free Throw,00:00:05.2,,,Rowan University,RU@IC,11/09/2024,1,,Brycen Williams,,5 Brycen Williams > Non Possession > Free Throw
57,Logan Wendell,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:20.9,,,Ithaca College,RU@IC,11/09/2024,1,10:34,"Logan Wendell, Ife Okebiorun",Handoff,1 Logan Wendell > Hand Off > From Dribble > Left > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
