#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Synergy String
42,Anthony Aruffo,,,,3FGm,Miss 3 Pts,00:00:17.2,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,11:51,Anthony Aruffo,"Iso, Spot Up",4 John Kairouz > ISO > Top > Drives Left > Defense Commits > Ball Delivered > 33 Anthony Aruffo > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
43,Andrew Kim,,,,Off Reb,Run Offense,00:00:06.7,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,,Andrew Kim,Off Reb,2 Andrew Kim > Offensive Rebound > Long > Run Offense
44,John Kairouz,,,,"Turnover, Steal",Turnover,00:00:09.3,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,11:41,"John Kairouz, Sean Wilcox",Cut,4 John Kairouz > Cut > Flash > Turnover
45,Laz Panagiotounis,,,,Turnover,Turnover,00:00:15.5,,,Bard College,Bar@SLC,11/08/2024,1,11:33,Laz Panagiotounis,Transition,15 Laz Panagiotounis > Transition > Ballhandler > Turnover
46,Dean Furlong,,,,"Turnover, Steal",Turnover,00:00:21.3,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,11:18,"Dean Furlong, Joshua Bayne",Spot Up,13 Dean Furlong > Spot-Up > Drives Left > Turnover
47,Max Frei,,,,"3FGm, Def Reb",Miss 3 Pts,00:00:24.4,,,Bard College,Bar@SLC,11/08/2024,1,11:00,"Max Frei, Braden Burman","P&R BH, Spot Up",4 Azriel Almodovar > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 23 Max Frei > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
48,Andrew Kim,,,,"2FGm, Def Reb",Miss 2 Pts,00:00:23.2,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,10:41,"Andrew Kim, Seth Dyer",P&R BH,2 Andrew Kim > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > To Basket > Miss 2 Pts
49,Azriel Almodovar,,,,"3FGM, Assist",Make 3 Pts,00:00:29.0,,,Bard College,Bar@SLC,11/08/2024,1,10:22,"Azriel Almodovar, Rowan Heinze",Handoff,4 Azriel Almodovar > Hand Off > From Dribble > Left > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
50,Lemar Fulmore,,,,Foul,Non Shooting Foul,00:00:08.6,,,,Bar@SLC,11/08/2024,1,,Joshua Bayne,,1 Lemar Fulmore > Non Possession > Non Shooting Foul
51,Chris Dougherty,,,,2FGm,Miss 2 Pts,00:00:13.8,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,10:05,Chris Dougherty,Cut,32 Chris Dougherty > Cut > Flash > Miss 2 Pts
52,Eamon Kelly,,,,Off Reb,Run Offense,00:00:07.1,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,,Eamon Kelly,Off Reb,5 Eamon Kelly > Offensive Rebound > Long > Run Offense
53,Kyle Jefferson,,,,3FGm,Miss 3 Pts,00:00:15.1,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,10:00,Kyle Jefferson,Spot Up,3 Kyle Jefferson > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
54,Eamon Kelly,,,,Off Reb,Run Offense,00:00:09.1,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,,Eamon Kelly,Off Reb,5 Eamon Kelly > Offensive Rebound > Long > Run Offense
55,Lemar Fulmore,,,,Foul,Foul,00:00:22.5,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,9:46,"Rowan Heinze, Lemar Fulmore",Cut,1 Lemar Fulmore > Cut > Basket > Foul
56,Lemar Fulmore,,,,FTm,Free Throw,00:00:11.0,,,Sarah Lawrence College Gryphons,Bar@SLC,11/08/2024,1,,Lemar Fulmore,,1 Lemar Fulmore > Non Possession > Free Throw
