Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction
RIT,UNY,Union (NY) Dutchmen,3pmi,No Dribble Jumper,Luke Mcgarrity,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Brandon Weiss,PNR,High,Off,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,Turnover,N/A,Brendan Reid,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,2pMa,To Basket,Ronnie Toole,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,3pMa,No Dribble Jumper,Matthew Garside,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Brandon Weiss,Off Screens,Left,Straight,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,3pmi,No Dribble Jumper,Brendan Reid,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,Turnover,N/A,Brock Bowen,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,Turnover,N/A,Edward Baptiste,Post,Left,Face Up,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,2pMa,To Basket,Kenny Wilburn,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,2pMa,Hook Shot,Aren Cummings,Post,Right,Dribble,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Keegan Ocorr,PNR,High,Off,Ronnie Toole,Spot Ups,N/A,Shot
RIT,UNY,Union (NY) Dutchmen,2pmi,To Basket,Matthew Garside,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,2pMa,To Basket,Chase Dickens,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,Foul,N/A,Tanner Tedesco,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,PNR,Left,Off,N/A,N/A,N/A,N/A
RIT,UNY,Union (NY) Dutchmen,2pmi,Dribble Jumper,Tanner Tedesco,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,UNY,Rochester Institute of Technology Tigers,Turnover,N/A,Chase Dickens,Post,Middle,Dribble,Zac Ditzel,Spot Ups,Left,Drive
RIT,UNY,Union (NY) Dutchmen,Turnover,N/A,Tanner Tedesco,PNR,Right,Off,N/A,N/A,N/A,N/A
