Site,PossesionType,Opponent,Outcome,ShotType,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayType,SecondaryDirection,SecondaryAction
Away,Defense,SJC,Turnover,N/A,Spot Ups,Left,Drive,None,None,None
Away,Offense,SJC,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,SJC,2pmi,To Basket,PNR,Left,Off,None,None,None
Away,Defense,SJC,2pMa,To Basket,Cuts,None,Basket,None,None,None
Away,Offense,SJC,2pMa,To Basket,Cuts,None,Flash,None,None,None
Away,Defense,SJC,2pMa,To Basket,PNR,High,Off,P&R Roll Man,None,Roll
Away,Offense,SJC,2pmi,To Basket,Cuts,None,Flash,None,None,None
Away,Defense,SJC,2pMa,To Basket,Transition,None,First Middle,None,None,None
Away,Offense,SJC,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,SJC,2pMa,To Basket,PNR,High,Off,None,None,None
Away,Offense,SJC,2pMa,To Basket,Cuts,None,Basket,None,None,None
Away,Defense,SJC,And1,To Basket,Post,Middle,Dribble Move,None,None,None
Away,Offense,SJC,2pMa,To Basket,Spot Ups,Left,Drive,None,None,None
Away,Defense,SJC,2pMa,To Basket,PNR,Right,Off,None,None,None
Away,Offense,SJC,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,SJC,3pMa,No Dribble Jumper,Transition,None,Left Wing,None,None,None
Away,Offense,SJC,2pmi,To Basket,Cuts,None,Flash,None,None,None
Away,Defense,SJC,2pmi,To Basket,Transition,None,Right Wing,None,None,None
Away,Offense,SJC,3pmi,No Dribble Jumper,Transition,None,Right Wing,None,None,None
Away,Defense,SJC,Turnover,N/A,Misc,None,None,None,None,None
Away,Offense,SJC,2pmi,To Basket,Hand Offs,Right,Dribble,None,None,None
Away,Defense,SJC,2pmi,To Basket,Spot Ups,Left,Drive,None,None,None
Away,Offense,SJC,2pmi,To Basket,Transition,None,Trailer,None,None,None
Away,Defense,SJC,2pMa,To Basket,Cuts,None,Basket,None,None,None
Away,Offense,SJC,3pmi,No Dribble Jumper,PNR,High,Off,P&R Roll Man,None,Pop
Away,Defense,SJC,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Offense,SJC,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,SJC,2pmi,To Basket,PNR,Left,Off,None,None,None
Away,Defense,SJC,2pMa,To Basket,Cuts,None,Basket,None,None,None
Away,Offense,SJC,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,SJC,2pMa,To Basket,Transition,None,Left Wing,None,None,None
Away,Offense,SJC,2pMa,To Basket,PNR,High,Off,P&R Roll Man,None,Roll
Away,Defense,SJC,Foul,Dribble Jumper,Iso,Right,None,None,None,None
Away,Offense,SJC,3pMa,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,SJC,2pmi,Dribble Jumper,PNR,High,Off,None,None,None
Away,Offense,SJC,Turnover,To Basket,Transition,None,Left Wing,None,None,None
Away,Defense,SJC,2pmi,To Basket,Transition,None,Left Wing,None,None,None
Away,Offense,SJC,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,SJC,3pmi,No Dribble Jumper,PNR,High,Off,P&R Roll Man,None,Pop
Away,Offense,SJC,2pmi,To Basket,Cuts,None,Flash,None,None,None
Away,Defense,SJC,2pmi,Hook Shot,Post,Left,Dribble Move,None,None,None
Away,Offense,SJC,2pmi,To Basket,Spot Ups,Straight,Drive,None,None,None
Away,Defense,SJC,2pMa,To Basket,Cuts,None,Basket,None,None,None
Away,Offense,SJC,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,SJC,3pMa,No Dribble Jumper,Transition,None,First Middle,None,None,None
Away,Offense,SJC,3pMa,Dribble Jumper,Transition,None,Right Wing,None,None,None
Away,Defense,SJC,2pmi,To Basket,Transition,None,Left Wing,None,None,None
Away,Defense,SJC,2pMa,To Basket,Cuts,None,Flash,None,None,None
Away,Offense,SJC,3pmi,No Dribble Jumper,Off Screens,Left,Straight,None,None,None
Away,Defense,SJC,Turnover,N/A,Spot Ups,Left,Drive,None,None,None
Away,Offense,SJC,3pmi,No Dribble Jumper,Spot Ups,None,Shot,None,None,None
Away,Defense,SJC,2pMa,To Basket,Spot Ups,Left,Drive,None,None,None
Away,Offense,SJC,2pMa,No Dribble Jumper,Off Screens,Right,Straight,None,None,None
