Site,PossesionType,Opponent,Outcome,ShotType,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayType,SecondaryDirection,SecondaryAction
Away,Defense,VC,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Offense,VC,2pmi,To Basket,Spot Ups,Left,Drive,N/A,N/A,N/A
Away,Defense,VC,3pMa,No Dribble Jumper,PNR,High,Off,Spot Ups,N/A,Shot
Away,Offense,VC,Foul,To Basket,PNR,High,Away,P&R Roll Man,Left,Pop
Away,Defense,VC,2pmi,To Basket,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Offense,VC,2pmi,To Basket,PNR,High,Away,N/A,N/A,N/A
Away,Defense,VC,2pMa,To Basket,Cuts,N/A,Basket,N/A,N/A,N/A
Away,Offense,VC,2pMa,To Basket,PNR,Left,Off,P&R Roll Man,N/A,Roll
Away,Defense,VC,2pMa,To Basket,PNR,Right,Off,P&R Roll Man,N/A,Slips
Away,Offense,VC,Foul,To Basket,Iso,Right,N/A,N/A,N/A,N/A
Away,Defense,VC,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Offense,VC,2pMa,To Basket,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Defense,VC,Turnover,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Offense,VC,Turnover,N/A,PNR,Left,Away,N/A,N/A,N/A
Away,Defense,VC,2pMa,To Basket,Hand Offs,Top,Stationary,N/A,N/A,N/A
Away,Offense,VC,2pMa,To Basket,Hand Offs,Left,Dribble,N/A,N/A,N/A
Away,Defense,VC,Turnover,N/A,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Offense,VC,2pMa,To Basket,Spot Ups,Left,Drive,N/A,N/A,N/A
Away,Defense,VC,3pmi,No Dribble Jumper,Post,Right,N/A,Spot Ups,N/A,Shot
Away,Offense,VC,2pMa,No Dribble Jumper,PNR,High,Off,P&R Roll Man,N/A,Pop
Away,Defense,VC,2pmi,Dribble Jumper,PNR,High,Off,Spot Ups,Right,Drive
