Site,PossesionType,Opponent,Outcome,ShotType,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayType,SecondaryDirection,SecondaryAction
Away,Defense,NAZ,2pMa,To Basket,Spot Ups,Straight,Drive,N/A,N/A,N/A
Away,Offense,NAZ,2pMa,To Basket,Transition,N/A,Left Wing,N/A,N/A,N/A
Away,Defense,NAZ,Turnover,N/A,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Offense,NAZ,3pmi,No Dribble Jumper,Transition,N/A,Left Wing,N/A,N/A,N/A
Away,Offense,NAZ,3pmi,No Dribble Jumper,Spot Ups,N/A,Shot,N/A,N/A,N/A
Away,Defense,NAZ,2pMa,To Basket,Spot Ups,Right,Drive,N/A,N/A,N/A
Away,Offense,NAZ,Foul,N/A,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Defense,NAZ,Foul,N/A,Spot Ups,Left,Drive,N/A,N/A,N/A
Away,Offense,NAZ,Turnover,N/A,Transition,N/A,Ball Handler,N/A,N/A,N/A
Away,Defense,NAZ,Foul,N/A,Misc,N/A,N/A,N/A,N/A,N/A
Away,Offense,NAZ,2pmi,Dribble Jumper,Iso,Right,N/A,N/A,N/A,N/A
