#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Play Type,Play Call,Synergy String
72,Aidan Roy,,,,"Turnover, Steal",Turnover,00:00:18.5,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,6:17,"Aidan Roy, Tucker Tharpe",P&R BH,,15 Aidan Roy > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Turnover
73,Pat White,,,,"Foul, Turnover",Turnover,00:00:15.6,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,6:12,Pat White,Transition,,33 Pat White > Transition > Right Wing > Turnover
74,Aidan Roy,,,,2FGM,Make 2 Pts,00:00:13.4,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,5:59,Aidan Roy,P&R BH,,15 Aidan Roy > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Medium/17' to <3p > Make 2 Pts
75,Andrew Deppe,,,,3FGm,Miss 3 Pts,00:00:16.3,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,5:40,Andrew Deppe,P&R BH,,41 Andrew Deppe > P&R Ball Handler > High P&R > Takes Early Jump Shot > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
76,Avery Eugster,,,,"Off Reb, Foul",Foul,00:00:08.3,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,5:40,"Avery Eugster, Aidan Roy",Off Reb,,12 Avery Eugster > Offensive Rebound > Short > Foul
77,Avery Eugster,,,,FTM,Free Throw,00:00:09.9,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,,Avery Eugster,,,12 Avery Eugster > Non Possession > Free Throw
78,Avery Eugster,,,,"FTm, Def Reb",Free Throw,00:00:09.5,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,,"Avery Eugster, Charlie Fantom",,,12 Avery Eugster > Non Possession > Free Throw
79,Nick Padilla,,,,"2FGm, Def Reb, Block, Blocked Attempt",Miss 2 Pts,00:00:14.6,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,5:17,"Nick Padilla, Nate Tawiah-Boateng, Yechiel Stewart",Iso,,3 Nick Padilla > ISO > Right > Drives Right > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
80,Andrew Deppe,,,,2FGm,Miss 2 Pts,00:00:19.1,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,5:07,Andrew Deppe,"Post Up, Cut",,11 Nate Tawiah-Boateng > Post-Up > Right Block > Right Shoulder > Dribble Move > Defense Commits > Ball Delivered > 41 Andrew Deppe > Cut > Basket > Miss 2 Pts
81,Andrew Deppe,,,,"Off Reb, Foul",Foul,00:00:08.5,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,5:07,"Andrew Deppe, Ethan Madeiros",Off Reb,,41 Andrew Deppe > Offensive Rebound > Short > Scoring Attempt > At Basket > Foul
82,Andrew Deppe,,,,FTm,Free Throw,00:00:11.8,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,,Andrew Deppe,,,41 Andrew Deppe > Non Possession > Free Throw
83,Andrew Deppe,,,,"FTm, Def Reb",Free Throw,00:00:13.1,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,,"Andrew Deppe, Hakeem Daphnis",,,41 Andrew Deppe > Non Possession > Free Throw
84,Ethan Madeiros,,,,"Foul, Turnover",Turnover,00:00:14.9,,,Skidmore Thoroughbreds,SKD@RPI,01/10/2025,1,4:55,Ethan Madeiros,,,25 Ethan Madeiros > No Play Type > Turnover
85,Andrew Deppe,,,,,No Violation,00:00:20.8,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,,Andrew Deppe,,,41 Andrew Deppe > Non Possession > No Violation
86,Chuck Clemons,,,,2FGm,Miss 2 Pts,00:00:15.4,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,4:34,Chuck Clemons,Handoff,,4 Chuck Clemons > Hand Off > From Stationary > Right > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
87,PJ Scalisi,,,,Off Reb,Run Offense,00:00:08.4,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,,PJ Scalisi,Off Reb,,23 PJ Scalisi > Offensive Rebound > Long > Run Offense
88,Avery Eugster,,,,2FGm,Miss 2 Pts,00:00:27.9,,,Rensselaer Polytechnic,SKD@RPI,01/10/2025,1,4:19,Avery Eugster,Handoff,,12 Avery Eugster > Hand Off > From Stationary > Right > To Basket > Miss 2 Pts
