#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Synergy String
43,Brock Bowen,,,,"P&R BH, Spot Up, 3FGM, Assist",Make 3 Pts,00:00:19.9,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,13:11,"Brock Bowen, Chase Dickens",11 Chase Dickens > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 10 Brock Bowen > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,
44,Elliot Harris,,,,"Off Screen, Turnover, Steal",Turnover,00:00:26.2,,,Bard College,Bar@RIT,02/17/2024,1,12:44,"Elliot Harris, Jackson Otis",33 Elliot Harris > Off Screen > To Shooter's Right > Straight > Turnover,
45,Jackson Otis,,,,"P&R BH, Spot Up, 3FGm",Miss 3 Pts,00:00:39.1,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,12:20,Jackson Otis,1 Keegan Ocorr > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Ball Delivered > 25 Jackson Otis > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
46,Brock Bowen,,,,"Off Reb, 2FGm, Off Reb, Def Reb",Miss 2 Pts,00:00:12.4,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,12:16,"Brock Bowen, Rowan Heinze",10 Brock Bowen > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts,
47,Rowan Heinze,,,,"Transition, 3FGm, Def Reb",Miss 3 Pts,00:00:08.5,,,Bard College,Bar@RIT,02/17/2024,1,12:06,"Rowan Heinze, Keegan Ocorr",21 Rowan Heinze > Transition > Trailer > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,
48,Josiah Turner,,,,"Transition, Foul",Foul,00:00:16.2,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,11:59,"Heston Tucker, Josiah Turner",33 Josiah Turner > Transition > Left Wing > To Basket > Foul,
49,Josiah Turner,,,,FTM,Free Throw,00:00:08.4,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,,Josiah Turner,33 Josiah Turner > Non Possession > Free Throw,
50,Josiah Turner,,,,FTM,Free Throw,00:00:06.7,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,,Josiah Turner,33 Josiah Turner > Non Possession > Free Throw,
51,Azriel Almodovar,,,,"P&R BH, 2FGm, Def Reb",Miss 2 Pts,00:00:31.5,,,Bard College,Bar@RIT,02/17/2024,1,11:33,"Azriel Almodovar, Keegan Ocorr",4 Azriel Almodovar > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > To Basket > Miss 2 Pts,
52,Chase Dickens,,,,"P&R BH, Spot Up, 3FGM, Assist",Make 3 Pts,00:00:18.1,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,11:23,"Chase Dickens, Keegan Ocorr",10 Brock Bowen > P&R Ball Handler > Right P&R > Baseline > Dribble Off Pick > Defense Commits > Ball Delivered > 11 Chase Dickens > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,
53,Laz Panagiotounis,,,,"Handoff, 3FGM, Assist",Make 3 Pts,00:00:14.5,,,Bard College,Bar@RIT,02/17/2024,1,11:08,"Laz Panagiotounis, Azriel Almodovar",15 Laz Panagiotounis > Hand Off > From Dribble > Left > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,
54,Chase Dickens,,,,"Iso, 2FGM",Make 2 Pts,00:00:23.0,,,Rochester Institute of Technology Tigers,Bar@RIT,02/17/2024,1,10:41,Chase Dickens,11 Chase Dickens > ISO > Top > Drives Right > Dribble Jumper > Short to < 17' > Make 2 Pts,
55,Cory Dennis,,,,"Post Up, Spot Up, 3FGM, Assist",Make 3 Pts,00:00:15.6,,,Bard College,Bar@RIT,02/17/2024,1,10:26,"Cory Dennis, Rowan Heinze",21 Rowan Heinze > Post-Up > Left Block > Right Shoulder > Dribble Move > Defense Commits > Ball Delivered > 22 Cory Dennis > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts,
