Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%,Turnover,Foul
Avery Lee,Vassar Brewers,25,6,1,16.6667,13,6,46.1538,2,0,0.0000,39.47368,3,3
Jack Plesser,Union (NY) Dutchmen,24,0,0,NULL,18,10,55.5556,3,2,66.6667,55.55556,2,4
Evan Cabral,Ithaca College,23,2,0,0.0000,12,7,58.3333,1,1,100.0000,50.00000,4,5
Connor Cepiel,Union (NY) Dutchmen,23,11,5,45.4545,6,5,83.3333,2,1,50.0000,73.52941,6,0
Aren Cummings,Union (NY) Dutchmen,23,0,0,NULL,14,8,57.1429,0,0,NULL,57.14286,8,1
Tyler Cardello,Elmira,23,6,1,16.6667,11,6,54.5455,1,0,0.0000,44.11765,2,4
Logan Jagodzinski,Rochester (NY) Yellowjackets,23,7,3,42.8571,12,8,66.6667,3,2,66.6667,65.78947,3,0
Elliot Harris,Bard College,22,10,6,60.0000,6,2,33.3333,2,1,50.0000,68.75000,5,1
Nick Padilla,Skidmore Thoroughbreds,22,3,1,33.3333,12,7,58.3333,5,1,20.0000,56.66667,3,4
Gavin Macaulay,St. Lawrence Saints,22,4,1,25.0000,13,8,61.5385,2,2,100.0000,55.88235,3,2
Edward Baptiste,Union (NY) Dutchmen,22,0,0,NULL,18,9,50.0000,6,2,33.3333,50.00000,4,0
Alex Moesch,Hobart College Statesmen,21,11,5,45.4545,8,3,37.5000,4,1,25.0000,55.26316,1,1
Hakeem Daphnis,Skidmore Thoroughbreds,21,6,2,33.3333,11,5,45.4545,7,2,28.5714,47.05882,3,1
Azriel Almodovar,Bard College,20,0,0,NULL,13,5,38.4615,2,0,0.0000,38.46154,4,3
Rowan Heinze,Bard College,20,2,0,0.0000,9,4,44.4444,1,0,0.0000,36.36364,7,2
Nolan Smih,Rochester Institute of Technology Tigers,20,3,0,0.0000,13,7,53.8462,2,1,50.0000,43.75000,3,1
Logan Blankenberg,Nazareth College Golden Flyers,20,8,7,87.5000,7,5,71.4286,1,1,100.0000,103.33333,2,3
Aiden Macaulay,St. Lawrence Saints,20,8,0,0.0000,9,3,33.3333,4,1,25.0000,17.64706,2,1
JP Miranda,Vassar Brewers,19,3,2,66.6667,13,5,38.4615,2,0,0.0000,50.00000,3,0
Blessed Mbogo,Gallaudet University Bison,19,9,3,33.3333,5,3,60.0000,4,1,25.0000,53.57143,3,2
