Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction
RIT,Bar,Bard College,Turnover,N/A,Kevin Le,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,Turnover,N/A,Zac Ditzel,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,2pmi,No Dribble Jumper,Laz Panagiotounis,PNR,Right,Off,Rowan Heinze,P&R Roll Man,N/A,Pop
RIT,Bar,Rochester Institute of Technology Tigers,2pmi,Dribble Jumper,Brock Bowen,Off Screens,Right,Flare,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,Turnover,To Basket,Cory Dennis,PNR,High,Off,Rowan Heinze,P&R Roll Man,N/A,Roll
RIT,Bar,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Chase Dickens,Iso,Left,N/A,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,Turnover,N/A,Laz Panagiotounis,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,2pmi,To Basket,Kenny Wilburn,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,Turnover,N/A,Cory Dennis,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,2pMa,To Basket,Chase Dickens,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,Turnover,N/A,Sean Wilcox,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,2pMa,To Basket,Brody Brown,Transition,N/A,First Middle,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,2pmi,To Basket,Laz Panagiotounis,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,2pmi,To Basket,Brock Bowen,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,Turnover,N/A,Laz Panagiotounis,Hand Offs,Left,Dribble,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,2pmi,To Basket,Brock Bowen,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,2pmi,Dribble Jumper,Elliot Harris,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,2pMa,No Dribble Jumper,Chase Dickens,Off Screens,Left,Straight,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,2pmi,To Basket,Elliot Harris,Spot Ups,Left,Drive,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,2pMa,Dribble Jumper,Heston Tucker,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,2pMa,To Basket,Brandon Weiss,PNR,High,Away,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,3pmi,No Dribble Jumper,Connor Melis,Off Screens,Right,Flare,N/A,N/A,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,3pmi,Dribble Jumper,Chase Dickens,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,Bar,Bard College,Turnover,N/A,Laz Panagiotounis,Iso,Right,N/A,Connor Melis,Spot Ups,N/A,N/A
RIT,Bar,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Brandon Weiss,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
