Home,Away,OffensivePossession,Outcome,ShotType,PrimaryPlayer,PrimaryPlayType,PrimaryDirection,PrimaryAction,SecondaryPlayer,SecondaryPlayType,SecondaryDirection,SecondaryAction
RIT,IC,Ithaca College,2pmi,To Basket,Aidan Holmes,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,3pMa,Dribble Jumper,Chase Dickens,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,2pMa,To Basket,Triston Wennersten,Post,Left,Dribble,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,Turnover,N/A,Chase Dickens,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,2pmi,To Basket,Triston Wennersten,Spot Ups,Right,Drive,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,3pmi,No Dribble Jumper,Evan Cabral,PNR,High,Off,Triston Wennersten,P&R Roll Man,N/A,Pop
RIT,IC,Rochester Institute of Technology Tigers,Turnover,N/A,Chase Dickens,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,Foul,To Basket,Evan Cabral,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,Turnover,To Basket,Kenny Wilburn,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,2pMa,To Basket,Triston Wennersten,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Matt Caggiano,PNR,High,Away,Kenny Wilburn,P&R Roll Man,N/A,Slips
RIT,IC,Ithaca College,3pMa,No Dribble Jumper,Andrew Geschickter,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,Foul,To Basket,Chase Dickens,PNR,High,Away,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,Turnover,N/A,Jaylon O'Neal,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,2pMa,To Basket,Chase Dickens,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,Turnover,N/A,Alex Penders,Post,Right,Dribble,Bryce Bleibtrey,Spot Ups,Right,Drive
RIT,IC,Rochester Institute of Technology Tigers,2pmi,N/A,Nolan Smih,Post,Right,Dribble,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,Turnover,N/A,Logan Wendell,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,2pmi,To Basket,Chase Dickens,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,3pmi,No Dribble Jumper,Alex Penders,PNR,High,Off,Logan Wendell,Spot Ups,N/A,Shot
RIT,IC,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Zac Ditzel,Transition,N/A,Right Wing,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,3pMa,Dribble Jumper,Andrew Geschickter,PNR,Left,Off,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Chase Dickens,Iso,Top,N/A,Zac Ditzel,Spot Ups,N/A,Shot
RIT,IC,Ithaca College,3pMa,No Dribble Jumper,Alex Penders,Transition,N/A,Trailer,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,2pMa,Dribble Jumper,Matt Caggiano,Iso,Left,N/A,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,Turnover,To Basket,Jaylon O'Neal,Cuts,N/A,Flash,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,Turnover,N/A,Nolan Smih,Misc,N/A,N/A,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,2pMa,To Basket,Andrew Geschickter,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Matt Caggiano,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,2pmi,To Basket,Jaylon O'Neal,Cuts,N/A,Basket,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,Foul,To Basket,Mark Osime,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,2pmi,Dribble Jumper,Aidan Holmes,Hand Offs,Right,Dribble,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,2pMa,To Basket,Matt Caggiano,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,2pmi,To Basket,Noah Downing,PNR,High,Off,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,Turnover,To Basket,Matt Caggiano,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,2pMa,Dribble Jumper,Evan Cabral,PNR,High,Off,Noah Downing,P&R Roll Man,Right,Pop
RIT,IC,Rochester Institute of Technology Tigers,3pmi,No Dribble Jumper,Ronnie Toole,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,2pmi,To Basket,Noah Downing,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,Foul,To Basket,Ronnie Toole,Transition,N/A,Ball Handler,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,And1,To Basket,Logan Wendell,PNR,High,Off,Alex Penders,P&R Roll Man,N/A,Roll
RIT,IC,Rochester Institute of Technology Tigers,3pMa,No Dribble Jumper,Mark Osime,Spot Ups,N/A,Shot,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,2pmi,Dribble Jumper,Noah Downing,PNR,Left,Off,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,Turnover,N/A,Mark Osime,Transition,N/A,Left Wing,N/A,N/A,N/A,N/A
RIT,IC,Ithaca College,3pmi,No Dribble Jumper,Logan Wendell,PNR,High,Off,Andrew Geschickter,Spot Ups,N/A,Shot
RIT,IC,Rochester Institute of Technology Tigers,Foul,N/A,Matt Caggiano,Post,Left,Dribble,N/A,N/A,N/A,N/A
RIT,IC,Rochester Institute of Technology Tigers,Turnover,N/A,Matt Caggiano,PNR,High,Off,Keegan Ocorr,Spot Ups,Right,Drive
